body_code,line,neck_circ_cm (known),neck_class (current estimate),neck_joint_diameter_mm  <-- FILL,neck_joint_type  <-- FILL (screw/bayonet/magnet/peg),"interchange_group  <-- FILL (factory connector group, optional)",notes
ZC165D,Classic,,,,,,
ZF161D,Fusion,,standard,,,,
ZF168B,Fusion,31,standard,,,,
ZF169C,Fusion,32,standard,,,,
ZG162D,I-Series,31.5,standard,,,,
ZG170C,I-Series,33,standard,,,,
ZG170D,I-Series,32,standard,,,,
ZG175E,I-Series,30,standard,,,,
ZGX165F,I-Series,30,standard,,,,
ZK159D,K-Series,26.5,slim,,,,
ZK168B,K-Series,27.5,slim,,,,
ZS165D,Sculpt,,,,,,
ZX153B,SLE 3.0,,standard,,,,
ZX160J,SLE 3.0,32,standard,,,,
ZX163E,SLE 3.0,,standard,,,,
ZX164G,SLE 3.0,32.5,standard,,,,
ZX165D,SLE 3.0,32.5,standard,,,,
ZX166K,SLE 3.0,32,standard,,,,
ZX170A,SLE 3.0,32.5,standard,,,,
ZX171C,SLE 3.0,33,standard,,,,
ZX172E,SLE 3.0,32.5,standard,,,,
