brand,total_products,full_body_skus,full-body,torso,male,exclusive,house-brand,multi-brand,accessory,unknown,full_body_share_pct,strategy_group,lt_1200,1200_1799,1800_2499,2500_3499,3500_plus,unknown_price
6Ye,23,22,22,1,0,0,0,0,0,0,95.7,Focused Midline,0,4,19,0,0,0
AI Tech,1,1,1,0,0,0,0,0,0,0,100.0,Boutique Premium,0,0,0,0,1,0
Angel Kiss,49,49,49,0,0,0,0,0,0,0,100.0,Focused Midline,0,0,49,0,0,0
Arcana,4,4,4,0,0,0,0,0,0,0,100.0,Focused Midline,0,4,0,0,0,0
CY Doll,83,83,83,0,0,0,0,0,0,0,100.0,Focused Midline,0,70,13,0,0,0
Cyber Girl,4,4,4,0,0,0,0,0,0,0,100.0,Focused Midline,0,0,4,0,0,0
Dime Doll,35,35,35,0,0,0,0,0,0,0,100.0,Focused Midline,4,31,0,0,0,0
FantasyWives,60,0,0,0,0,0,0,60,0,0,0.0,Retail Aggregator,3,2,18,37,0,0
FunWest,107,107,107,0,0,0,0,0,0,0,100.0,Catalog Depth Leader,1,57,49,0,0,0
Irontech,124,122,122,2,0,0,0,0,0,0,98.4,Catalog Depth Leader,1,8,97,18,0,0
JM Doll,1,1,1,0,0,0,0,0,0,0,100.0,Focused Midline,0,0,1,0,0,0
Jiusheng,25,25,25,0,0,0,0,0,0,0,100.0,Focused Midline,0,4,19,2,0,0
LilyDoll,14,14,14,0,0,0,0,0,0,0,100.0,Focused Midline,8,6,0,0,0,0
Lusandy,35,35,35,0,0,0,0,0,0,0,100.0,Focused Midline,0,0,0,35,0,0
MD Doll,69,69,69,0,0,0,0,0,0,0,100.0,Focused Midline,0,13,20,36,0,0
Magic Moment,3,3,3,0,0,0,0,0,0,0,100.0,Focused Midline,0,1,2,0,0,0
Qita,3,2,2,1,0,0,0,0,0,0,66.7,Line Extension (torso/male),1,0,2,0,0,0
Real Lady,64,64,64,0,0,0,0,0,0,0,100.0,Focused Midline,1,0,0,63,0,0
Route,1,0,0,0,0,0,0,0,1,0,0.0,Retail Aggregator,0,0,0,0,0,1
SE Doll,135,135,135,0,0,0,0,0,0,0,100.0,Catalog Depth Leader,2,60,73,0,0,0
SY Doll,4,4,4,0,0,0,0,0,0,0,100.0,Focused Midline,0,0,4,0,0,0
Sanhui,7,7,7,0,0,0,0,0,0,0,100.0,Boutique Premium,0,0,3,4,0,0
Sigafun,7,7,7,0,0,0,0,0,0,0,100.0,Focused Midline,0,7,0,0,0,0
Silicon Wives,346,0,0,0,0,14,332,0,0,0,0.0,Retail Aggregator,302,1,7,1,2,33
Sino Doll,12,12,12,0,0,0,0,0,0,0,100.0,Boutique Premium,0,0,1,9,2,0
Starpery,47,46,46,1,0,0,0,0,0,0,97.9,Focused Midline,1,3,42,1,0,0
WM Doll,280,271,271,5,4,0,0,0,0,0,96.8,Catalog Depth Leader,4,232,44,0,0,0
Warm Doll,9,0,0,0,0,0,0,0,9,0,0.0,Retail Aggregator,8,1,0,0,0,0
XT Doll,50,50,50,0,0,0,0,0,0,0,100.0,Focused Midline,0,0,50,0,0,0
YL Doll,33,32,32,0,1,0,0,0,0,0,97.0,Focused Midline,0,2,31,0,0,0
ZELEX,156,0,0,0,0,0,0,0,0,2,0.0,Focused Midline,1,40,102,13,0,0
